symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target1,target2,target3,reward_risk_t3
CARYSIL,75,1182.4,56.1,1.34,93.9,1182.4,1116.09,1248.71,1281.86,1315.02,2.0
CHEMCON,75,220.0,76.8,4.4,96.4,220.0,208.97,231.03,236.55,242.07,2.0
CHENNPETRO,75,1613.2,74.8,1.39,97.0,1613.2,1512.72,1713.68,1763.92,1814.16,2.0
DOLLEX,75,38.1,76.3,1.31,95.4,38.1,35.74,40.46,41.63,42.81,2.0
EBGNG,75,677.65,64.1,1.37,96.1,677.65,624.36,730.94,757.58,784.22,2.0
GRAPHITE,75,831.1,73.8,3.06,95.1,831.1,780.5,881.7,907.0,932.31,2.0
GUJTHEM,75,430.7,60.6,1.94,91.6,430.7,398.93,462.47,478.35,494.24,2.0
IDEA,75,14.89,56.0,1.6,94.3,14.89,14.11,15.67,16.06,16.46,2.0
INDNIPPON,75,1404.6,77.7,11.23,89.8,1404.6,1295.28,1513.92,1568.57,1623.23,2.0
INDOCO,75,260.23,58.6,3.34,90.5,260.23,237.11,283.35,294.91,306.47,2.0
IVC,75,9.66,66.5,1.27,87.9,9.66,8.95,10.37,10.73,11.08,2.0
KROSS,75,232.55,70.3,10.5,96.6,232.55,219.42,245.68,252.24,258.8,2.0
KSL,75,958.5,61.8,4.63,96.6,958.5,896.69,1020.31,1051.22,1082.13,2.0
MAHAPEXLTD,75,56.49,56.9,2.07,89.1,56.49,50.73,62.25,65.13,68.02,2.0
MALUPAPER,75,34.62,63.1,1.53,96.3,34.62,32.12,37.12,38.37,39.62,2.0
MANAKCOAT,75,126.6,60.7,4.16,95.0,126.6,119.26,133.94,137.61,141.28,2.0
MEDICAMEQ,75,309.4,73.3,2.5,94.7,309.4,285.25,333.55,345.62,357.7,2.0
MITCON,75,82.99,64.4,1.36,96.5,82.99,77.01,88.97,91.96,94.94,2.0
MRPL,75,178.19,55.7,1.94,92.9,178.19,167.04,189.34,194.91,200.48,2.0
MUKANDLTD,75,141.51,61.5,1.73,96.6,141.51,135.65,147.37,150.31,153.24,2.0
MWL,75,40.9,57.3,14.17,93.1,40.9,37.83,43.97,45.51,47.05,2.0
NEOGEN,75,2374.9,66.7,1.63,95.6,2374.9,2226.2,2523.6,2597.96,2672.31,2.0
NIRAJISPAT,75,320.0,57.9,1.91,74.5,320.0,287.82,352.18,368.27,384.35,2.0
NURECA,75,343.0,59.8,2.23,95.8,343.0,316.39,369.61,382.92,396.23,2.0
ORIENTLTD,75,82.4,55.1,1.68,95.3,82.4,76.76,88.04,90.86,93.68,2.0
OSWALSEEDS,75,14.93,73.5,3.53,95.7,14.93,13.63,16.23,16.88,17.53,2.0
PCJEWELLER,75,13.8,74.4,1.49,95.6,13.8,12.7,14.9,15.44,15.99,2.0
PDMJEPAPER,75,100.06,64.1,3.06,95.6,100.06,92.63,107.49,111.21,114.92,2.0
PGIL,75,2387.4,55.8,3.13,95.5,2387.4,2236.59,2538.21,2613.62,2689.02,2.0
PLAZACABLE,75,59.91,63.0,1.29,92.9,59.91,54.92,64.9,67.39,69.88,2.0
PODDARMENT,75,295.2,66.9,5.09,88.5,295.2,271.75,318.65,330.37,342.09,2.0
PRUDMOULI,75,16.8,66.1,1.39,95.5,16.8,15.4,18.2,18.9,19.6,2.0
ANTHEM,70,945.9,64.8,0.87,97.2,945.9,902.85,988.95,1010.48,1032.01,2.0
IIFLCAPS,70,337.9,52.5,1.17,98.6,337.9,332.07,343.73,346.64,349.56,2.0
IMPAL,70,1136.9,56.2,0.9,97.2,1136.9,1074.02,1199.78,1231.22,1262.66,2.0
ADVANCE,65,119.46,53.1,2.08,95.6,119.46,111.6,127.32,131.26,135.19,2.0
ANDHRAPAP,65,71.98,69.8,1.16,90.2,71.98,66.26,77.7,80.57,83.43,2.0
APOLLO,65,409.5,59.3,0.96,95.7,409.5,390.91,428.09,437.38,446.68,2.0
ARVEE,65,198.0,64.7,0.92,88.0,198.0,177.96,218.04,228.06,238.07,2.0
AVONMORE,65,14.2,69.2,1.17,96.8,14.2,13.14,15.26,15.79,16.32,2.0
BAIDFIN,65,11.75,74.0,1.07,90.7,11.75,10.93,12.57,12.98,13.4,2.0
CHOLAFIN,65,1863.9,53.3,1.95,96.7,1863.9,1797.72,1930.08,1963.17,1996.26,2.0
CSLFINANCE,65,240.96,60.1,0.98,94.6,240.96,228.38,253.54,259.83,266.13,2.0
DIACABS,65,351.5,59.7,0.94,93.4,351.5,326.15,376.85,389.52,402.19,2.0
FCL,65,58.86,76.0,1.16,94.3,58.86,54.37,63.35,65.6,67.84,2.0
GENUSPAPER,65,12.36,54.1,2.74,89.6,12.36,11.33,13.39,13.9,14.41,2.0
GOKUL,65,43.0,58.9,0.95,91.9,43.0,40.17,45.83,47.24,48.65,2.0
GUJRAFFIA,65,41.6,54.1,1.66,90.6,41.6,38.73,44.47,45.91,47.35,2.0
HUHTAMAKI,65,265.55,50.2,3.63,93.4,265.55,248.01,283.09,291.86,300.63,2.0
HYUNDAI,65,2206.4,55.2,1.06,96.7,2206.4,2128.35,2284.45,2323.47,2362.5,2.0
IFGLEXPOR,65,212.89,51.7,1.44,92.6,212.89,196.79,228.99,237.04,245.08,2.0
ITDC,65,686.8,54.5,11.33,90.2,686.8,643.12,730.48,752.32,774.16,2.0
JKPAPER,65,415.9,64.0,1.15,96.8,415.9,395.05,436.75,447.17,457.6,2.0
JSL,65,768.45,65.5,0.97,96.8,768.45,738.16,798.74,813.89,829.04,2.0
MARSONS,65,125.28,53.3,1.43,86.8,125.28,113.3,137.26,143.25,149.24,2.0
NRAIL,65,600.0,65.4,1.19,92.3,600.0,553.96,646.04,669.06,692.08,2.0
OMNI,65,566.7,52.3,1.91,92.1,566.7,521.08,612.32,635.14,657.95,2.0
ONWARDTEC,65,289.0,54.5,1.57,97.0,289.0,274.84,303.16,310.24,317.32,2.0
ORIENTPPR,65,18.1,57.0,1.19,93.9,18.1,17.0,19.2,19.75,20.3,2.0
