symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target1,target2,target3,reward_risk_t3
GANESHBE,75,131.08,59.0,2.16,96.5,131.08,121.61,140.55,145.29,150.02,2.0
GREENPLY,75,298.4,55.6,2.39,95.5,298.4,283.96,312.84,320.06,327.28,2.0
HLEGLAS,75,446.85,68.5,1.31,92.7,446.85,409.39,484.31,503.04,521.76,2.0
ISFT,75,107.63,71.1,2.4,93.6,107.63,97.38,117.88,123.0,128.12,2.0
JAMNAAUTO,75,129.55,56.2,1.38,94.0,129.55,122.55,136.55,140.06,143.56,2.0
KAMDHENU,75,40.77,64.9,1.62,93.3,40.77,37.72,43.82,45.35,46.88,2.0
KANORICHEM,75,182.24,64.5,1.28,95.2,182.24,168.04,196.44,203.55,210.65,2.0
KOHINOOR,75,31.75,55.8,1.51,88.7,31.75,29.15,34.35,35.65,36.96,2.0
LIBAS,75,12.09,65.6,1.72,91.7,12.09,10.93,13.25,13.83,14.41,2.0
LOYALTEX,75,231.23,62.4,16.04,89.6,231.23,209.31,253.15,264.11,275.08,2.0
MAMATA,75,423.35,60.3,3.06,96.2,423.35,402.0,444.7,455.38,466.06,2.0
MANBA,75,139.19,66.9,5.5,92.2,139.19,131.29,147.09,151.03,154.98,2.0
MARINE,75,425.8,62.8,9.68,94.7,425.8,387.77,463.83,482.85,501.87,2.0
MCL,75,60.75,60.4,3.52,94.9,60.75,56.63,64.87,66.93,68.99,2.0
MEESHO,75,236.37,71.8,1.24,96.6,236.37,222.82,249.92,256.69,263.47,2.0
MITCON,75,82.62,63.4,6.29,89.0,82.62,75.92,89.32,92.67,96.02,2.0
MWL,75,44.63,69.7,1.62,93.0,44.63,40.67,48.59,50.57,52.55,2.0
PARAGMILK,75,268.9,59.5,1.46,94.0,268.9,248.84,288.96,298.98,309.01,2.0
PFOCUS,75,337.15,62.3,3.25,92.9,337.15,314.59,359.71,370.99,382.27,2.0
21STCENMGM,65,39.92,52.8,1.92,94.3,39.92,38.32,41.52,42.32,43.12,2.0
ACMESOLAR,65,452.3,69.1,0.98,94.8,452.3,423.2,481.4,495.95,510.51,2.0
ALGOQUANT,65,72.1,72.3,0.99,94.6,72.1,67.5,76.7,79.01,81.31,2.0
ARFIN,65,91.42,57.3,1.05,92.5,91.42,85.57,97.27,100.19,103.11,2.0
ASPINWALL,65,255.55,53.3,1.34,95.0,255.55,240.35,270.75,278.36,285.96,2.0
AVONMORE,65,13.48,54.8,1.38,91.9,13.48,12.33,14.63,15.2,15.78,2.0
BIRLACABLE,65,361.9,55.7,1.09,86.4,361.9,328.88,394.92,411.43,427.94,2.0
COHANCE,65,461.45,56.9,0.92,95.7,461.45,434.95,487.95,501.2,514.45,2.0
CORDSCABLE,65,369.65,66.8,1.17,90.8,369.65,326.33,412.97,434.63,456.29,2.0
DCMNVL,65,179.43,53.9,1.37,90.4,179.43,167.26,191.6,197.69,203.77,2.0
DIACABS,65,377.85,60.9,1.18,93.5,377.85,351.54,404.16,417.32,430.47,2.0
EMMVEE,65,333.1,52.5,1.25,93.9,333.1,314.87,351.33,360.44,369.55,2.0
ESAFSFB,65,40.69,52.6,1.49,90.4,40.69,38.02,43.36,44.7,46.03,2.0
GEEKAYWIRE,65,33.25,68.2,1.01,95.0,33.25,29.82,36.68,38.39,40.11,2.0
GULFPETRO,65,66.38,61.3,1.09,94.7,66.38,61.38,71.38,73.88,76.37,2.0
KUANTUM,65,82.87,65.8,1.04,95.3,82.87,77.32,88.42,91.2,93.97,2.0
LOKESHMACH,65,359.25,58.2,1.18,93.1,359.25,331.0,387.5,401.62,415.74,2.0
MAZDA,65,254.85,52.5,2.9,91.7,254.85,235.55,274.15,283.8,293.45,2.0
MGEL,65,15.49,53.0,1.21,90.7,15.49,14.29,16.69,17.28,17.88,2.0
MOLDTECH,65,199.88,55.7,1.0,88.9,199.88,183.92,215.84,223.82,231.8,2.0
MUKTAARTS,65,57.89,52.4,5.89,93.7,57.89,53.78,62.0,64.05,66.11,2.0
MVGJL,65,221.29,71.9,0.99,94.6,221.29,202.01,240.57,250.2,259.84,2.0
PATINTLOG,65,14.42,64.0,1.06,90.1,14.42,13.36,15.48,16.01,16.54,2.0
PONNIERODE,65,375.25,53.6,2.99,89.8,375.25,346.79,403.71,417.95,432.18,2.0
PROZONER,65,52.19,66.6,0.95,96.7,52.19,48.57,55.81,57.62,59.42,2.0
